,,,,
List of environmental statutes,,,,
,,,,
Act Number,Name of the Act,Act Abb.,USC Citation,Year
25,Farmland Protection Policy Act,FPPA,7 U.S.C. 4204,1984
25,Farmland Protection Policy Act,FPPA,7 U.S.C. 4205,1984
25,Farmland Protection Policy Act,FPPA,7 U.S.C. 4206,1984
25,Farmland Protection Policy Act,FPPA,7 U.S.C. 4207,1984
25,Farmland Protection Policy Act,FPPA,7 U.S.C. 4208,1984
25,Farmland Protection Policy Act,FPPA,7 U.S.C. 4209,1984
26,National Wildlife Refuge System Administration Act,NWRSAA,16 U.S.C. 668dd,1966
26,National Wildlife Refuge System Administration Act,NWRSAA,16 U.S.C. 668ee,1966
27,National Fish and Wildlife Act of 1956,,16 U.S.C. 742,1956
27,National Fish and Wildlife Act of 1956,,16 U.S.C. 743,1956
27,National Fish and Wildlife Act of 1956,,16 U.S.C. 744,1956
27,National Fish and Wildlife Act of 1956,,16 U.S.C. 745,1956
27,National Fish and Wildlife Act of 1956,,16 U.S.C. 746,1956
27,National Fish and Wildlife Act of 1956,,16 U.S.C. 747,1956
27,National Fish and Wildlife Act of 1956,,16 U.S.C. 748,1956
27,National Fish and Wildlife Act of 1956,,16 U.S.C. 749,1956
27,National Fish and Wildlife Act of 1956,,16 U.S.C. 750,1956
27,National Fish and Wildlife Act of 1956,,16 U.S.C. 751,1956
27,National Fish and Wildlife Act of 1956,,16 U.S.C. 752,1956
27,National Fish and Wildlife Act of 1956,,16 U.S.C. 753,1956
27,National Fish and Wildlife Act of 1956,,16 U.S.C. 754,1956
28,Fish and Wildlife Coordination Act,,16 U.S.C. 661,1934
28,Fish and Wildlife Coordination Act,,16 U.S.C. 662,1934
28,Fish and Wildlife Coordination Act,,16 U.S.C. 663,1934
28,Fish and Wildlife Coordination Act,,16 U.S.C. 664,1934
28,Fish and Wildlife Coordination Act,,16 U.S.C. 665,1934
28,Fish and Wildlife Coordination Act,,16 U.S.C. 666,1934
29,Eagle Protection Act,,16 U.S.C. 668,1940
30,National Trails System Act,NTSA,16 U.S.C. 1241,1968
,,,,
,,,,
"Source: EPA list of environmental laws, excluding NTTA and OSHA. Acts 23-30 were extracted from FR Doc. 2023–22176.",,,,
